"map_id","category","creature_entry","creature_name","reason"
"33","dungeon","3886","Razorclaw the Butcher","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"33","dungeon","3887","Baron Silverlaine","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"33","dungeon","4274","Fenrus the Devourer","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"33","dungeon","61969","Prelate Ironmane","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"34","dungeon","1663","Dextren Ward","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"34","dungeon","1716","Bazil Thredd","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"43","dungeon","3653","Kresh","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"43","dungeon","3671","Lady Anacondra","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"43","dungeon","3673","Lord Serpentis","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"43","dungeon","61965","Vangros","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"43","dungeon","61968","Zandara Windhoof","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"48","dungeon","4830","Old Serra'kis","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"48","dungeon","4832","Twilight Lord Kelris","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"48","dungeon","6243","Gelihast","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"48","dungeon","62530","Velthelaxx the Defiler","Validated DungeonClear candidate is rank 0/1 and lacks a live registry row."
"532","raid","61204","Dark Rider Champion","Verified Rank-1 encounter state with static spawn, nonzero loot ID, loot rows, and no existing map-specific registry row."
