creature_entry,map_id,rejection_reason,note
1853,NULL,NO_QUALIFYING_STATIC_SPAWN,"Darkmaster Gandling: live template and loot ID exist, but no static dungeon/raid spawn was found"
3654,NULL,NO_QUALIFYING_STATIC_SPAWN,"Mutanus the Devourer: live template and loot ID exist, but no static dungeon/raid spawn was found"
7355,NULL,NO_QUALIFYING_STATIC_SPAWN,"Tuten'kash: live template and loot ID exist, but no static dungeon/raid spawn was found"
7356,NULL,NO_QUALIFYING_STATIC_SPAWN,"Plaguemaw the Rotting: live template and loot ID exist, but no static dungeon/raid spawn was found"
8443,NULL,NO_QUALIFYING_STATIC_SPAWN,"Avatar of Hakkar: live template and loot ID exist, but no static dungeon/raid spawn was found"
9030,NULL,NO_QUALIFYING_STATIC_SPAWN,"Ok'thor the Breaker: live template and loot ID exist, but no static dungeon/raid spawn was found"
10264,NULL,NO_QUALIFYING_STATIC_SPAWN,"Solakar Flamewreath: live template and loot ID exist, but no static dungeon/raid spawn was found"
10339,NULL,NO_QUALIFYING_STATIC_SPAWN,"Gyth: live template and loot ID exist, but no static dungeon/raid spawn was found"
10516,NULL,NO_QUALIFYING_STATIC_SPAWN,"The Unforgiven: live template and loot ID exist, but no static dungeon/raid spawn was found"
10584,NULL,NO_QUALIFYING_STATIC_SPAWN,"Urok Doomhowl: live template and loot ID exist, but no static dungeon/raid spawn was found"
10813,NULL,NO_QUALIFYING_STATIC_SPAWN,"Balnazzar: live template and loot ID exist, but no static dungeon/raid spawn was found"
11143,NULL,NO_QUALIFYING_STATIC_SPAWN,"Postmaster Malown: live template and loot ID exist, but no static dungeon/raid spawn was found"
11502,NULL,NO_QUALIFYING_STATIC_SPAWN,"Ragnaros: live template and loot ID exist, but no static dungeon/raid spawn was found"
12018,NULL,NO_QUALIFYING_STATIC_SPAWN,"Majordomo Executus: live template exists with loot_id 0 and no static dungeon/raid spawn; rejected at the spawn gate"
40068,NULL,NO_QUALIFYING_STATIC_SPAWN,"Onyxian Warder: live template and loot ID exist, but no static dungeon/raid spawn was found"
2000092,NULL,NO_QUALIFYING_STATIC_SPAWN,"Grand Crusader Dathrohan: live template and loot ID exist, but no static dungeon/raid spawn was found"
62056,816,NO_CREATURE_LOOT_ROWS,"Bogpaw Truthsay: live static spawns exist on maps 451 and 816, but loot_id 62056 has no creature_loot_template rows"
63132,822,LOOT_ID_ZERO,"Handler Oboka: live static spawn exists on map 822, but creature_template.loot_id is 0"
